name,born,gender,country
BENKARA Ibtissem,"Sep 19, 2001",W,ALG
BENLARBI Zakaria,"Oct 15, 1997",M,MAR
BENLOUNES M Hamed,"Jan 01, 1993",M,ALG
BENMILOUD Meryem Nada,"Sep 26, 1997",W,ALG
BENNETT Sally Elizabeth,"Mar 08, 1991",W,GBR
BENOROUZ Ali Reza,"Sep 24, 1994",M,NOR
BENTELI Konstantina,"Aug 24, 1993",W,GRE
BENYE Jeremiah Teg-Gbul,"Oct 23, 2001",M,GHA
BENYIK Gabriel,"Mar 22, 2002",M,SVK
BENZA Stephan Denis,"Nov 26, 1990",M,NED
BERAK Boran,"Sep 04, 1996",M,CRO
BERAN Andrej,"Mar 08, 1988",M,CZE
BERBAL Mohammad Swara,"Jan 01, 1985",M,IRQ
BERBEC Silviu Stefan,"Sep 12, 1989",M,ROU
BERCHI Dana Alexandra,"Mar 11, 1990",W,ROU
BERDELIDZE Goderdzi,"Jul 14, 1996",M,GEO
BERDIGYLYJOV Vepa,"Jan 08, 1998",M,TKM
BERDIMYRADOV Ovezmyrat,"Sep 21, 1995",M,TKM
BERDUGO Patricia Damaris,"Jan 01, 1981",W,ESA
BERDYYEVA Bagul,"May 18, 1995",W,TKM
BERELADZE Zurab,"May 09, 2000",M,GEO
BERENZON Alina,"Jun 10, 2003",W,ISR
BERES Sandor,"May 17, 1978",M,HUN
BERESTOV Dmitry,"Jun 13, 1980",M,RUS
BERESTOVA Liubov,"Nov 26, 1989",W,UKR
BEREZIN Hlib,"Jan 03, 2005",M,UKR
BERGER Eugenia,"Sep 30, 1995",W,URU
BERGER Marina,"Apr 07, 1976",W,ISR
BERGKVIST Jonathan,"Aug 22, 2000",M,SWE
BERGLUND Eddie,"Jan 19, 1995",M,SWE
BERGLUND Irma Donna Wiktoria,"Nov 28, 1997",W,SWE
BERGMANIS Raimonds,"Jan 01, 1966",M,LAT
BERGO Nkal,"May 25, 1998",W,CMR
BERGSTROM Anders,"Oct 21, 1966",M,SWE
BERGUES CARDENAS Jose Manuel,"Jan 07, 1998",M,ARG
BERIS ESCALONA Eduar Jose,"May 29, 1993",M,VEN
BERKH Yakov,"Jun 28, 1988",M,KAZ
BERKI Lilla,"Aug 29, 1993",W,HUN
BERLINSKA Zofia,"Feb 22, 2005",W,POL
BERMUDEZ CASTANEDA Eliezer Jose,"Mar 24, 1998",M,VEN
BERMUDEZ LOPERA Divian Stiven,"Jun 14, 2001",M,COL
BERMUDEZ PEREZ Elianny,"Jan 19, 1996",W,CUB
BERNA GONZALEZ Carlos Andres,"Jan 21, 1990",M,COL
BERNACEC Catalina,"Jul 17, 1979",W,ROU
BERNARDI Robin,"May 01, 2000",M,SMR
BERNARDO Reinhardt Christiaan,"Jul 02, 1996",M,RSA
BERNDT Franziska,"Mar 25, 1998",W,GER
BERNIER Bridget,"Sep 20, 1985",W,CAN
BERNTSSON Annika,"Sep 10, 1976",W,SWE
BERNTSSON Lena Carina,"Nov 04, 1978",W,SWE
BERRIO Hernandez Roger,"Oct 30, 1972",M,COL
BERRIO ZULUAGA Manuela Andrea,"Jun 18, 2000",W,COL
BERRIOS Karen Indira,"Apr 05, 1975",W,HON
BERRIOS Taia,"Jul 25, 2005",W,CHI
BERRU MONDRAGON Danitza Disney,"May 10, 1991",W,PER
BERSANAU Aliaksandr,"Sep 01, 1992",M,BLR
BERSANOV Ibragim,"Oct 25, 1992",M,KAZ
BERSCHAUER Waldemar,"Oct 01, 1978",M,GER
BERTAGNIN Petar,"Aug 05, 1980",M,CRO
BERTALI Zakaria,"Oct 07, 1985",M,MAR
BERTILI Bernard Manuel,"Jan 11, 2000",M,FRA
BERTRAM Sarah,"Jul 20, 1983",W,USA
BERTRAN Filip,"Sep 21, 2003",M,SRB
BERTRAN Kristijan,"Nov 27, 1998",M,SRB
BERU Karianako,"Sep 18, 1998",M,KIR
BERU Karianako,"Sep 18, 1988",M,KIR
BERUBE Jacquelynn Ann,"Dec 09, 1971",W,USA
BERZONS Ulvis,"Mar 01, 1989",M,LAT
BESKOV Kamran,"Jun 08, 1996",M,AZE
BESLER Turgay,"Dec 10, 1993",M,TUR
BESSAEV Ruslan,"Jan 01, 1970",M,AZE
BESSEMS Christiaan,"Nov 15, 1981",M,NED
BESSEMS Robbert,"Aug 09, 1979",M,NED
BESSETTE Pierre-Alexandre,"Sep 28, 1999",M,CAN
BEST Brien Anderson,"Apr 03, 1996",M,USA
BEST Brien Anderson,"Apr 03, 1996",M,BAR
BETANCOURT OSEJO Sonia Salvadora,"Sep 08, 1988",W,NCA
BETANCUR MANCILLA Diego Fernando,"Jun 15, 1994",M,COL
BETCA Iulian,"Aug 17, 2003",M,MDA
BETERO Takirua,"Jan 10, 1999",M,KIR
BETEYOB Natasya,"Sep 10, 2000",W,INA
BETHUNE Melissa,"Jan 01, 1979",W,AUS
BETKER Lars,"Jan 01, 1971",M,GER
BETUA TABILON Gissele Anne,"Jun 01, 2003",W,PHI
BEUKMAN Johannes Jacobus,"May 15, 1989",M,RSA
BEVEC Tomaz,"Aug 16, 1979",M,SLO
BEVERLY Pacheco,"Mar 09, 1988",W,PUR
BEYER Dean,"Aug 26, 1991",M,USA
BEYNON Rhodri Philip,"May 21, 1999",M,GBR
BEYNON Rhodri Philip,"May 21, 1999",M,WAL
BEYTULA Yunder Nedim,"Jan 09, 1992",M,BUL
BEZEK Emiliano Ezequiel,"Jan 12, 1993",M,ARG
BEZERRA BARBOSA Byanka,"Nov 05, 1994",W,BRA
BEZLIUDNAIA Anastasiia,"Dec 24, 1994",W,RUS
BHABRA Amreesa,"May 05, 2001",w,CAN
BHAKTARAM DESTI,"Jun 14, 2002",M,IND
BHANDARI Sagar,"Nov 07, 2001",M,NEP
BHARALI Bedabrat,"Mar 19, 2007",M,IND
BHOLLAH Ravi,"Sep 28, 1981",M,MRI
BI Hanqi,"Jan 26, 2001",M,CHN
BIAGIONI QUESTA Luis Federico,"Jul 05, 1991",M,ESP
BIALEK Arkadiusz,"Feb 13, 1982",M,POL
BIALKOWSKA Kamila,"Jun 21, 1985",W,NED
BIANCO III Angelo,"Jun 24, 1993",M,USA
BIBEAU-VILLIARD Philippe,"Dec 27, 1987",M,CAN
BIBIK Oleksii,"Jan 11, 1993",M,UKR
BIBULEWELLA RANASINGHAGE Nishan Saranga,"Jul 10, 1989",M,SRI
BICER Berat,"Jul 02, 1992",M,TUR
BIDANI Walid,"Jun 11, 1994",M,ALG
BIDEEV Aslan,"Dec 25, 1988",M,RUS
BIELBY Amy,"Jun 22, 1997",W,NZL
BIGAZZI Simone,"Jan 22, 1990",M,ITA
BIGLARIVANSOFLA Morteza,"Aug 21, 1992",M,IRI
BIJELIC Silvio,"Aug 04, 1994",M,CRO
BIJJI Sami,"Mar 26, 1995",M,FRA
BIJLEVELD Sanne,"Sep 14, 1993",W,NED
BIJOKOVA Marketa,"Aug 28, 2000",W,CZE
BILEGA-SAIKHAN Tumur-Chuluun,"Sep 16, 1998",W,MGL
BILEGAN Teodor V.,"Nov 25, 1993",M,ROU
BILEN Serkan,"Aug 28, 1992",M,TUR
BILGIC Huriye,"Feb 25, 1991",W,TUR
BILGIN Emine,"Jul 15, 1984",W,TUR
BILGIN Erol,"Feb 20, 1987",M,TUR
BILICIER Medine,"Feb 15, 2004",W,TUR
BILLEN Angel,"Sep 17, 2007",W,CAN
BILLEN Helena,"Nov 18, 1995",W,CAN
BILLEN Jeenat,"Mar 28, 2001",W,CAN
BILMEZ Ozlem,"Jun 04, 1986",W,TUR
BILODEAU Jocelyn,"Jun 17, 1975",M,CAN
BIMBO Brendon Ronaldo,"Nov 12, 2003",M,HUN
BIN HAJI ABU BAKAR Mohammad Nashrul,"Sep 20, 1995",M,BRU
BIN HASIBULAH Mohd Fauzi,"Feb 27, 1989",M,MAS
BIN MAT LAZAT Mohd Dinie Akmal,"Aug 03, 1994",M,MAS
BIN MAT SULAIMAN Muhammad Rashdan,"Oct 13, 2000",M,MAS
BIN SAEID Salih Mihriz Salih,"Aug 04, 2001",M,LBA
BIN SHAMSUDDIN Muhammad Hafiz,"Apr 20, 1999",M,MAS
BINAY Mete,"Jan 19, 1985",M,TUR
BINI Michael,"Aug 29, 2000",M,SMR
BINTI SYD ANUAR Sharifah Inani Najwa,"Jan 01, 1990",W,MAS
BIOCIC Ivan,"Jul 30, 1982",M,CRO
BIOLO David Nickson,"Mar 03, 1998",M,SOL
BIRANVAND Hossein,"Aug 09, 2001",M,IRI
BIRANVAND Mohsen,"Sep 06, 1981",M,IRI
BIRCA Andrei,"Mar 23, 1988",M,MDA
BIRLIK Zehra,"May 21, 2001",W,TUR
BIRO Laszlo,"Dec 18, 1981",M,ROU
BIRSHKIS Elena,"Jan 23, 1984",W,RUS
BISAFO Elizabeth Selwyn,"Jul 15, 1997",W,SOL
BISHANAKU Samuel,"Oct 04, 2004",M,ALB
BISHANAKU Sokol,"Jun 20, 1971",M,ALB
BISS Geordie Andrew,"Sep 24, 1992",M,AUS
BIST Vishal Singh,"Oct 17, 2000",M,NEP
BITYUTSKIY Vitaly,"Feb 16, 1995",M,RUS
BIYBOLATOV Rustam,"Sep 22, 1990",M,RUS
BIZAMA CONEJERO Alonso Javier,"Nov 10, 2004",M,CHI
BIZZARRO Ivan Luigi,"Dec 05, 1980",M,ITA
BJELIC Sonja,"Jul 17, 1999",W,SRB
BJOERN Maja,"Mar 03, 2006",W,DEN
BJORNSDOTTIR Bergros,"Feb 06, 2007",W,ISL
BLACK Georgina,"Dec 20, 1989",W,SCO
BLACK Georgina,"Dec 20, 1989",W,GBR
BLACK Maddison Sarah,"Oct 30, 1997",W,AUS
BLACKMAN Chad Bradley,"Sep 19, 1996",M,BAR
BLACKWELL Robert Thomas,"Aug 27, 1990",M,USA
BLAIR Lauri,"Jul 16, 1977",M,BRA
BLAIS Arianne,"May 16, 1995",W,CAN
BLANCHET Jean-Christophe,"May 21, 1998",m,CAN
BLANCO GONZALEZ Karool Karina,"May 24, 1995",W,COL
BLANCO PALACIOS Ender De Jesus,"Feb 13, 1995",M,VEN
BLANCO RUIZ Henry Jose,"Mar 06, 1990",M,VEN
BLANCO TARELA Irene,"Jan 12, 2002",W,ESP
BLANDON PENA Luis Alfonso,"May 03, 2005",M,COL
BLASKOWSKI Stacie,"Apr 03, 1979",W,USA
BLASNIK Sarah,"Apr 20, 1989",W,GER
BLATCH Liv,"Jan 24, 1993",W,ENG
BLATCH Olivia Louise,"Jan 24, 1993",W,GBR
BLIDARI Ioan Tiberiu,"Jul 07, 1994",M,ROU
BLIDARI Silviu Constantin,"May 17, 1997",M,ROU
BLOOM Layla Leah,"Jul 29, 2005",W,AUS
BLOUIN Patrick,"Sep 08, 1978",M,CAN
BLYTHMAN Craig,"Aug 01, 1970",M,AUS
BOB Kabuati Silas,"Oct 19, 1994",M,KIR
BOB Kabuati Silas,"Oct 19, 1994",M,MHL
BOBKOVA Maryna,"Mar 17, 1997",W,UKR
BOBORYKIN Mykola,"Jan 01, 1979",M,UKR
BOBROWSKA Natalia,"Jul 12, 2000",W,POL
BOCHKOV Rodion,"Sep 27, 1993",M,RUS
BOCSA Paul,"Jul 02, 2003",M,ROU
BODAGLO Noreena,"May 22, 1974",W,CAN
BODAH Jones,"Aug 04, 1999",M,PHI
BODORIK Matus,"Jun 05, 1996",M,SVK
BODORIK Michal,"Jun 05, 1996",M,SVK
BOE Toua Vai,"Nov 16, 1993",M,PNG
BOER Moreno,"Jan 09, 1977",M,ITA
BOEV Plamen,"Mar 29, 1987",M,BUL
BOEVSKI Galabin,"Jan 01, 1974",M,BUL
BOGA Anna,"May 13, 1996",W,GRE
BOGADO Kyle,"Mar 20, 2006",M,PAR
BOGE Boe Dennis,"Nov 08, 1981",M,PNG
BOGE Tiril,"Feb 05, 2000",W,NOR
BOGOJEVIC Georgije,"Aug 13, 1988",M,CRO
BOGUK Dmitriy,"Aug 10, 1979",M,BLR
BOHDAN Maksim,"Apr 03, 1995",M,BLR
BOHM Maria,"Aug 18, 1974",W,SWE
BOHM Michael,"Feb 08, 1984",M,GER
BOHODYST Serhii,"Nov 01, 1987",M,UKR
BOHOL Jun Dominic A.,"Jun 10, 2005",M,PHI
BOILEAU Patrick,"May 14, 1994",m,CAN
BOISCLAIR Jerome,"Aug 13, 1991",M,CAN
BOLANOS Martha,"Mar 20, 2006",W,ECU
BOLANOS MENDEZ Ricardo Alonso,"Mar 06, 1993",M,CRC
BOLANOS RIVERA Erlen Cornelio,"Nov 16, 1994",M,ECU
BOLANOS RIVERA Heidi Yarixa,"Aug 15, 1993",W,ECU
BOLANOS RODRIGUEZ Leydi Del Carmen,"May 24, 1994",W,NCA
BOLD Zolboo,"Jul 12, 1997",W,MGL
BOLDBAATAR Khongorzul,"Jul 17, 2002",W,MGL
BOLEDOVICOVA Julia,"Jul 02, 2002",W,SVK
BOLHARYN Volodymyr,"Apr 21, 1994",M,UKR
BOLIVAR FIGUEREDO Yardibith Vanessa,"Apr 12, 1993",W,VEN
BOLORMAA Myagmartseren,"Feb 25, 1997",W,MGL
BOLORTUYA Lkhagvajav,"Feb 22, 2007",W,MGL
BOLTAYEV Yerzhas,"Jan 13, 1981",M,KAZ
BOLTURK Yunus Emre,"Nov 05, 1991",M,TUR
BOMATIA Arnaud,"Jan 02, 1990",M,CGO
BOMBACI Maurizio,"Feb 16, 1975",M,ITA
BOMBEN Martina,"Dec 07, 2002",W,ITA
BOMBUL Ants,"Mar 03, 1998",M,EST
BOMBUL Ave,"Dec 21, 1996",W,EST
BOMIRIYAGE GOMAS Dinusha Hansani,"Dec 30, 1992",W,SRI
BONA David,"Mar 30, 1997",M,VEN
BONANNO Zachary Joseph,"Sep 04, 1997",M,GUM
BONCIK Bartosz Kacper,"Mar 25, 2001",M,POL
BONDAR Volodymyr,"Jan 24, 1979",M,UKR
BONDARENKO Sergey,"Feb 18, 1989",M,RUS
BONE Jhon,"Nov 29, 2003",M,ECU
BONIKOWSKI Dawid,"Jul 15, 1995",M,POL
BONILLA DIAZ Deily Giselle,"Jul 12, 1997",W,ESA
BONILLA GRANJA Arley Fernando,"Jun 08, 2002",M,COL
BONILLA Javier,"Oct 24, 1986",M,PUR
BONILLA Marcos,"Dec 30, 2003",M,COL
BONK Bartlomiej Wojciech,"Oct 11, 1984",M,POL
BONNAAMANT Sophie,"May 30, 1992",W,FRA
BONNAMANT Melanie Isabelle,"May 30, 1992",W,FRA
BONNAT MICHEL Zacarias,"Feb 27, 1996",M,DOM
BONNEAU Marie-Pier,"Jul 19, 1999",W,CAN
BONNEL Eric,"Aug 18, 1974",M,FRA
BONNICK Jason Jermaine,"Nov 08, 1981",M,USA
BONVENTRE Sebastien,"Jan 01, 1971",M,MON
BOON Alethea Leqetiviti Sokia,"Jan 07, 1984",W,NZL
BOONLANG Weeraphat,"Mar 23, 1997",M,THA
BOOTH Tahina Louise,"Dec 31, 1984",W,AUS
BOOYSE Ross Peter,"Jun 29, 1999",M,RSA
BOOYSEN Henk,"Nov 01, 1972",M,RSA
BORAH Bornali,"Jul 31, 2000",W,IND
BORAUEA Akawe,"Dec 29, 1987",M,KIR
BORCILA Catalin Georghe,"Feb 10, 1988",M,ROU
BORDBAR Yousef,"Feb 28, 1998",M,KUW
BORDIGNON Giorgia,"May 24, 1987",W,ITA
BORG Nathalie,"Dec 20, 1989",W,MLT
BORG Rylee,"Jun 05, 2006",M,MLT
BORG Stephen,"Jul 02, 1976",M,MLT
BORGES Ryan Morgan,"Jun 06, 1992",M,USA
BORGET Jose Carlos,"Apr 11, 1996",M,ARG
BORGSTROM Jessica Kristina,"Mar 29, 1992",W,SWE
BORIN Seng,"Oct 08, 1998",W,CAM
BORISOV Stancho,"Oct 15, 2005",M,BUL
BORJA Elizabeth,"Jan 01, 1982",W,COL
BORODI Danut,"Jul 06, 2000",M,ROU
BORODINA Krystyna,"Aug 19, 1999",W,UKR
BOROS Viktoria,"Jul 22, 2001",W,HUN
BOROVSKYI Andrii,"Nov 30, 2005",M,UKR
BOROZNA Elvira,"Apr 20, 2002",W,UKR
BORQUEZ MENA Jose,"Jan 12, 1993",M,MEX
BORREGO PALACIOS Irene Esmeralda,"Nov 03, 2001",W,MEX
BORREGO PALACIOS Irene Esmeralda,"Mar 11, 2001",W,MEX
BORREGO PINTADO Yaditza,"May 22, 2003",W,CUB
BORRERO Lamouth Yordanis,"Mar 18, 1978",M,CUB
BORRES Eron,"Sep 01, 2007",M,PHI
BORRES Eron,"Jan 09, 2007",M,PHI
BORTKOV Alexey,"Jan 01, 1976",M,RUS
BORZI Istvan,"May 04, 1980",M,HUN
BOSATO Debora,"Dec 14, 1993",W,ITA
BOSCHI Simona,"Nov 25, 1994",W,ITA
BOSCO Alessandro,"Oct 06, 1988",M,ITA
BOSSAKHAR Mahdy,"Dec 30, 1993",M,KUW
BOTELANGA Dan,"Jan 01, 1980",M,NRU
BOTHA Nicole,"Apr 18, 1990",W,RSA
BOTTINELLI Roberto,"Oct 03, 2003",M,ITA
BOUABDELAH Nabila,"Feb 28, 1986",W,ALG
BOUAMR Bilal,"Mar 03, 2004",M,MAR
BOUARADA Imen,"Dec 22, 1991",W,TUN
BOUAZZA Abid Mohamed Amine,"Feb 18, 1998",M,ALG
BOUCH Kerrin Leigh,"Oct 29, 1990",W,RSA
BOUCHELAGHEM Chahinez Roufaida,"Dec 19, 1998",W,ALG
BOUDANI Maamar,"Jun 23, 1984",M,ALG
BOUFFARD Ann-Maxime,"Jun 03, 1998",W,CAN
BOUFFARD Felix-Antoine,"Apr 06, 1996",M,CAN
BOUGIE Pamela,"Jan 24, 1991",W,CAN
BOUHI Soufiane,"Apr 12, 2001",M,MAR
BOUHIJBHA Amine,"Feb 28, 1996",M,TUN
BOUKAT Khalil,"Oct 03, 1999",M,MAR
BOUKOULOU Quinet Petri Olaus,"May 09, 1996",M,CGO
BOULAL Outman,"Jul 16, 1997",M,MAR
BOULY Kevin,"Apr 26, 1981",M,FRA
BOUNTUN Sengdala,"Oct 21, 1986",M,LAO
BOUR Igor,"Dec 18, 1984",M,MDA
BOURAS Omar,"Sep 26, 1991",M,ALG
BOURELIA Erini,"Oct 14, 1983",W,GRE
BOURGEOIS Jason,"Jun 27, 1986",M,USA
BOUSALHAM Asmaa,"Apr 02, 1993",W,MAR
BOUSHEEHAH Abdullah Khalleefah M,"Jan 12, 1992",M,LBA
BOUSHINA Fateh,"Jan 01, 1980",M,ALG
BOUTROS George,"Jan 01, 1983",M,AUS
BOUTROS Jamila,"Jan 26, 1984",W,AUS
BOUZENADA Fouad,"Aug 09, 1976",M,ALG
BOUZIAN Asmae,"Jan 01, 2005",W,MAR
BOWE Hayden Elliot,"Jun 05, 1992",M,CAN
BOXALL Owen Gordon Edward,"Jul 03, 1990",M,GBR
BOXALL Owen Gordon Edward,"Jul 03, 1990",M,ENG
BOYD Iravo,"Jan 01, 1985",M,PNG
BOYNUEGRI Tugce,"Oct 12, 1998",W,TUR
BOZAN Ahmet,"Jun 23, 1997",M,TUR
BOZHILOVA Desislava,"Jan 12, 1986",W,BUL
BOZHUK Andrii,"Sep 11, 2000",M,UKR
BOZKURT Kadir,"Nov 14, 2005",M,TUR
BOZO Kristo,"Dec 18, 1964",M,CRO
BOZOROV Azam,"Jan 01, 1979",M,UZB
BOZOROV Jonibek,"Jun 30, 1996",M,UZB
BRACHI GARCIA Josue,"Sep 08, 1992",M,ESP
BRADDOCK Amanda Melissa,"Feb 10, 1989",W,CAN
BRADDY Thomas,"Mar 07, 1991",M,USA
BRADLEY Burrows,"Mar 18, 1979",M,GBR
BRADLEY Jessie Nicole,"Jan 17, 1997",W,USA
BRAHJA Shqiponje,"Jul 28, 1973",W,ALB
BRAJSHORI Leonora,"Jul 19, 1985",W,KOS
BRAMBLE Nicholas Burke,"Sep 20, 2000",M,USA
BRAMWELL Kaija Francesca,"Jul 14, 1997",W,USA
BRAN Joel,"Dec 23, 1981",M,GUA
BRANA Ido,"Sep 25, 1978",M,ISR
BRANDAO Susana,"Jan 01, 1979",W,POR
BRANDHUBER Simon Josef,"Jun 27, 1991",M,GER
BRANDT Lars,"Aug 13, 1974",M,GER
BRATAN Alexandru,"Aug 23, 1977",M,MDA
BRATAN Evgheni,"May 22, 1981",M,MDA
BRATAN Evgheni,"May 22, 1981",M,ROU
BRATLI Marcus,"Dec 19, 2000",M,NOR
BRATU Constantin,"Aug 16, 2000",M,MDA
BRATU Tudor,"Sep 27, 2002",M,MDA
BRAUD Savannah Claire,"Oct 01, 1996",W,USA
BRAUNS Reagan,"Jan 01, 1982",M,RSA
BRAVO BADILLA Daniel,"Aug 25, 2002",M,CHI
BRAVO BADILLA Joseph Franco,"Jul 09, 2006",M,CHI
BRAZAITE Gintare,"Aug 19, 1992",W,LTU
BREAHNA Dumitru,"Nov 03, 2000",M,ROU
BRECHTEFELD Elson Edward,"Mar 02, 1994",M,NRU
BRECZKO Kamila,"Jan 18, 1994",W,POL
BREDAHL Kasper,"Aug 25, 1996",M,DEN
BREEZE Michaela Alica,"May 17, 1979",W,GBR
BREEZE Michaela Alica,"May 17, 1979",W,WAL
BREGVADZE Longinoz,"Mar 09, 1995",M,GEO
BREITNER Vivien,"Nov 05, 2000",W,HUN
BREMNER Aria Kellyn,"Mar 04, 1994",W,USA
BRENES GARCIA Nazareth Maria,"Aug 03, 1999",W,CRC
BRESKOVIC Ivica,"Jan 01, 1973",M,CRO
BREWER Kristi,"Dec 18, 1981",W,USA
BREYMAND Ludivine Simone Marguerite,"Oct 08, 2000",W,NCL
BREZINA Nikolas,"Jan 01, 2002",M,CZE
BRHUN Ever,"Dec 06, 1990",M,ARG
BRIAN Maldonado,"Oct 31, 1992",M,PUR
BRIBIESCA Marcos Gerardo,"Jun 06, 2000",M,USA
BRICHE Mohamed Elamine,"Mar 23, 2001",M,ALG
BRICHI Damian,"Jan 01, 1979",M,MON
BRICK Theresa,"May 04, 1965",W,CAN
BRIGGS Chloe,"Aug 17, 1997",W,WAL
BRIMHALL Justin L.,"Sep 12, 1986",M,USA
BRIONES FERRUZOLA Simon Alejandro,"Oct 28, 1996",M,ECU
BRISTOL Denoila Zain,"May 11, 1998",W,GUY
BRITO COBO Sebastian Ruben,"May 01, 1992",M,GUA
BRITO Michel,"Dec 08, 1995",M,BRA
BRITO RANGEL Roimary Gabriela,"Apr 05, 2006",W,VEN
BRITO Yeferson,"Dec 04, 1999",M,VEN
BRITTON Andrew,"Feb 22, 1986",M,NZL
BRITTON Emily,"Nov 30, 1978",W,USA
BRITTON ROMERO Armando Justiniano,"Nov 02, 1994",M,NCA
BRITVA Sergio,"Nov 23, 1972",M,ISR
BRIZUELA CALLEJAS Gabriel Alejandro,"Nov 11, 1991",M,ESA
BROAD Niamh,"Feb 01, 2001",W,GBR
BROASCA I. Adelina,"Mar 25, 1995",W,ROU
BROCHU Isabelle,"Jul 21, 1981",W,CAN
BROCK Miller Thomas,"May 08, 1993",M,USA
BRODA Patrik,"Nov 19, 1999",M,SVK
BRODEUR Maude-Emilie,"Feb 02, 1989",W,CAN
BRODOWSKI Tomasz,"Dec 28, 1979",M,POL
BRONSTEIN Neta,"Nov 27, 1989",W,ISR
BROOKS Robert Blaine,"Nov 10, 2001",M,USA
BROWER Henry,"Jan 04, 1982",M,USA
BROWN Beau,"Feb 01, 1994",M,USA
BROWN Cameron,"Jul 22, 1988",M,PUR
BROWN Damian,"Jan 01, 1970",M,AUS
BROWN Isabella,"May 26, 2003",w,CAN
BROWN Isabella Beatrice,"Aug 02, 2004",W,GBR
BROWN Jill,"Sep 30, 1981",W,SCO
BROWN McKay,"May 28, 2000",m,CAN
BROWN Mercy Opeyemi,"Jun 20, 1996",W,GBR
BROWN Peyton Taylor,"Mar 19, 2001",W,USA
BROWN Sean Kevin,"Jun 03, 1991",M,IRL
BRUCE Kyle John Ryan Christopher P,"Jul 12, 1999",M,AUS
BRUCE Matthew Eric,"Jul 11, 1983",M,USA
BRUERTON Stewart,"Jan 01, 1995",M,NZL
BRUERTON Stewart James,"Nov 04, 1993",M,NZL
BRUHN Katrine Nim,"Dec 29, 1991",W,DEN
BRUIJNEN Teun,"Sep 09, 1996",M,NED
BRUKHAVETSKI Siarhei,"Jul 17, 1981",M,BLR
BRUNELLI Carlotta,"Apr 11, 1993",W,ITA
BRUNO Chiara Filomena,"Jun 12, 1999",W,SUI
BRUNOU Mikko Tapio,"Feb 20, 1997",M,FIN
BRUNSON Mack,"Aug 25, 1991",M,USA
BRUSOKAS S.,"Jan 01, 1968",M,LTU
BRUZAS Aurimas,"Oct 14, 1997",M,LTU
BRYANT Kaiya Lashay,"Feb 11, 2005",W,USA
BRYANT Kye,"Mar 28, 2003",M,USA
BRYL Liudmila,"Apr 25, 1991",W,BLR
BRYLAK Pawel,"Feb 10, 1997",M,POL
BUACHATTURAT Chotima,"Mar 12, 2000",W,THA
BUCHIN Vahinearii,"Jul 24, 1987",W,TAH
BUCHTA Patrik,"Jun 21, 2001",M,CZE
BUCI Antoniu,"Jan 21, 1990",M,ROU
BUCI Horatiu Bogdan,"Jan 21, 1988",M,ROU
BUCKNELL Percy,"Apr 26, 1997",M,FIJ
BUCKNELL William Dannis,"Nov 12, 1995",M,FIJ
BUDAI Attila Krisztian,"Nov 14, 1995",M,HUN
BUDAI Petronela Adriana,"May 31, 2006",W,ROU
BUDEBS Ahmad Jassim Abdulla Ali,"Aug 31, 1997",M,UAE
BUDEBS Mohammad Jassim Abdulla Ali,"Aug 31, 1997",M,UAE
BUDEK Przemyslaw,"Apr 04, 1992",M,POL
BUDHA MAGAR Tushar,"Oct 09, 2002",M,NEP
BUDISA Karmen,"Aug 14, 1998",W,CRO
BUDNIKOVA Tetiana,"May 28, 2001",W,UKR
BUENO PLACENCIA Gladis Guadalupe,"Feb 12, 1994",W,MEX
BUG Sabrina,"Apr 13, 1988",W,GER
BUGEJA Owen,"Aug 25, 1999",M,MLT
BUHT Maarika,"Jul 07, 1994",W,EST
BUI Dinh Sang,"Feb 18, 2002",M,VIE
BUI Ky Su,"Jun 12, 2002",M,VIE
BUI Minh Dao,"Jun 04, 2009",M,VIE
BUI Tuan Anh,"Nov 30, 1999",M,VIE
BUI-LE Liem Quang,"Sep 18, 1993",M,GBR
BUITRON VICTORIA Luz Winner,"Nov 30, 2003",W,PER
BUKARZ Roksana Agnieszka,"Sep 01, 2004",W,POL
BUKENYA Muzamir,"Sep 06, 2001",M,UGA
BUKENYA Muzamiru,"Sep 06, 1997",M,UGA
BUKENYA Robert,"Sep 23, 2003",M,UGA
BULAT Iurie,"Oct 06, 1994",M,MDA
BULAUSKAS Aurimas,"Jan 01, 1983",M,LTU
BULBUL Yasin,"May 26, 1994",M,TUR
BULSHTEIN Vladislav,"Apr 15, 1990",M,ISR
BULZONI Carlotta,"Feb 08, 1999",W,SMR
BUNCE Kale,"Apr 26, 2007",M,USA
BUNCE Kale Arthur,"Apr 26, 2007",M,USA
BUNPHITHAK Pramsiri,"Jan 13, 1984",W,THA
BUNROTH Duch,"Apr 06, 1997",M,CAM
BUNSUK Tairat,"Jan 11, 1993",M,THA
BUPPHAMALA Patiphan,"Aug 27, 1999",M,THA
BURAK Iryna,"Dec 03, 1999",W,BLR
BURAKOV Vitali,"Mar 25, 1988",M,EST
BURBALA Yevhen,"Jan 19, 2002",M,UKR
BURCEA Ana Maria,"Jul 26, 1989",W,ROU
BURCEA Tudor,"Mar 26, 1987",M,ROU
BURDSALL Shane Collin,"Feb 09, 2001",M,USA
BUREKA Ata,"Jan 01, 1974",M,KIR
BURGENER Casey,"Aug 15, 1982",M,USA
BURGENER Natalie,"Nov 07, 1983",W,USA
BURGER Chantelle,"Jul 18, 1982",W,RSA
BURGER Ruben,"Mar 03, 1991",M,RSA
